Competitor,Title,Price,URL,SKU,Extraction_Date
Dreamware Tech,Gigabyte GeForce RTX 5070 Ti Eagle OC Ice SFF 16GB GDDR7 Nvidia Graphics Card,R20759,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/gigabyte-geforce-rtx-5070-ti-eagle-oc-ice-sff-16gb-gddr7-nvidia-graphics-card/,33761,2026-02-25
Dreamware Tech,Gigabyte Geforce RTX 5070 Ti Aero OC 16GB GDDR7 Nvidia Graphics Card,R21729,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/gigabyte-geforce-rtx-5070-ti-aero-oc-16gb-gddr7-nvidia-graphics-card/,33760,2026-02-25
Dreamware Tech,MSI GeForce RTX 5050 Ventus 2x OC 8GB GDDR6 Nvidia Graphics Card,R6729,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/msi-geforce-rtx-5050-ventus-2x-oc-8gb-gddr6-nvidia-graphics-card/,33757,2026-02-25
Dreamware Tech,MSI GeForce RTX 5060 Shadow 2X OC 8GB GDDR7 Nvidia Graphics Card,R7889,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/msi-geforce-rtx-5060-shadow-2x-oc-8gb-gddr7-nvidia-graphics-card/,33755,2026-02-25
Dreamware Tech,MSI GeForce RTX 5050 Shadow 2x OC 8GB GDDR6 Nvidia Graphics Card,R6209,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/msi-geforce-rtx-5050-shadow-2x-oc-8gb-gddr6-nvidia-graphics-card/,33754,2026-02-25
Dreamware Tech,MSI GeForce RTX 5060 Ti Gaming Duke 3X OC 8GB GDDR7 Nvidia Graphics Card,R10219,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/msi-geforce-rtx-5060-ti-gaming-duke-3x-oc-8gb-gddr7-nvidia-graphics-card/,33748,2026-02-25
Dreamware Tech,MSI GeForce RTX 5060 Ventus 2x 8GB GDDR7 Nvidia Graphics Card,R7759,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/msi-geforce-rtx-5060-ventus-2x-8gb-gddr7-nvidia-graphics-card/,33747,2026-02-25
Dreamware Tech,MSI GeForce RTX 5060 Inspire 2X OC 8GB GDDR7 Nvidia Graphics Card,R7769,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/msi-geforce-rtx-5060-inspire-2x-oc-8gb-gddr7-nvidia-graphics-card/,33746,2026-02-25
Dreamware Tech,MSI GeForce RTX 5060 Gaming OC 8GB GDDR7 Nvidia Graphics Card,R8529,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/msi-geforce-rtx-5060-gaming-oc-8gb-gddr7-nvidia-graphics-card/,33745,2026-02-25
Dreamware Tech,Gigabyte Geforce RTX 5060 Gaming OC 8GB GDDR7 Nvidia Graphics Card,R7839,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/gigabyte-geforce-rtx-5060-gaming-oc-8gb-gddr7-nvidia-graphics-card/,33553,2026-02-25
Dreamware Tech,Gigabyte Geforce RTX 5060 Windforce OC 8GB GDDR7 Nvidia Graphics Card,R7719,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/gigabyte-geforce-rtx-5060-windforce-oc-8gb-gddr7-nvidia-graphics-card/,33551,2026-02-25
Dreamware Tech,Gigabyte Geforce RTX 5060 Eagle OC Ice 8GB GDDR7 Nvidia Graphics Card,R7719,https://www.dreamwaretech.co.za/p/nvidia-graphics-cards/product/gigabyte-geforce-rtx-5060-eagle-oc-ice-8gb-gddr7-nvidia-graphics-card/,33550,2026-02-25
