Competitor,Title,Price,URL,SKU,Extraction_Date
Evetech,Intel Core i3 12100 Processor,"R1,199",https://www.evetech.co.za/intel-core-i-3-12100-processor/best-deal/14264,14264,2026-02-25
Evetech,AMD Ryzen 5 3400G with Vega 11,"R1,499",https://www.evetech.co.za/amd-ryzen-5-3400-g-processor-with-radeon-vega-11-graphics-processor/best-deal/6243,6243,2026-02-25
Evetech,Intel i3-14100F 14th Gen Desktop CPU,"R1,599",https://www.evetech.co.za/intel-14th-gen-core-i-3-14100-f-processor/best-deal/19681,19681,2026-02-25
Evetech,AMD Ryzen 5 3500X 6-Core Processor,"R1,699",https://www.evetech.co.za/amd-ryzen-5-3500-x-boxed-processor/best-deal/21816,21816,2026-02-25
Evetech,Intel Core Ultra 5 225F AI Processor,"R3,299",https://www.evetech.co.za/intel-core-ultra-5-225-f-processor/best-deal/22189,22189,2026-02-25
Evetech,AMD Ryzen 5 7400 6‑Core Desktop CPU,"R3,299",https://www.evetech.co.za/amd-ryzen-5-7400-am-5-desktop-cpu/best-deal/24413,24413,2026-02-25
Evetech,AMD Ryzen 7 5700 8-Core Desktop CPU,"R3,399",https://www.evetech.co.za/amd-ryzen-7-5700-processor/best-deal/19946,19946,2026-02-25
Evetech,Intel Core Ultra 5 225 AI Processor,"R3,499",https://www.evetech.co.za/intel-core-ultra-5-225-processor/best-deal/22187,22187,2026-02-25
Evetech,Intel Core Ultra 5 245K Desktop CPU,"R4,399",https://www.evetech.co.za/intel-core-ultra-5-245-k-desktop-processor/best-deal/21594,21594,2026-02-25
Evetech,AMD Ryzen 5 9600X Zen 5 6-Core CPU,"R4,999",https://www.evetech.co.za/amd-ryzen-5-9600-x-processor/best-deal/20993,20993,2026-02-25
Evetech,AMD Ryzen 5 7500X3D 3D V-Cache,"R5,299",https://www.evetech.co.za/amd-ryzen-5-7500-x-3-d-6-core-am-5-processor/best-deal/24426,24426,2026-02-25
Evetech,Intel Core Ultra 7 265KF 20‑Core,"R6,199",https://www.evetech.co.za/intel-core-ultra-7-265-kf-20-core-cpu/best-deal/21606,21606,2026-02-25
Evetech,AMD Ryzen 7 9700X Desktop Processor,"R6,999",https://www.evetech.co.za/amd-ryzen-7-9700-x-processor/best-deal/20992,20992,2026-02-25
Evetech,AMD Ryzen 7 7800X3D 8-Core AM5,"R8,499",https://www.evetech.co.za/amd-ryzen-7-7800-x-3-d-8-core-am-5/best-deal/17597,17597,2026-02-25
Evetech,AMD Ryzen 9 9900X 12-Core AM5,"R8,999",https://www.evetech.co.za/amd-ryzen-9-9900-x-processor/best-deal/20991,20991,2026-02-25
Evetech,AMD Ryzen 7 9800X3D 8-Core 3D V-Cache,"R9,999",https://www.evetech.co.za/amd-ryzen-7-9800-x-3-d-processor/best-deal/21650,21650,2026-02-25
Evetech,AMD Ryzen 7 9850X3D AM5 3D V-Cache,"R10,499",https://www.evetech.co.za/amd-ryzen-7-9850-x-3-d-am-5-3-d-v-cache/best-deal/24928,24928,2026-02-25
Evetech,AMD Ryzen 9 9900X3D 12-Core Processor,"R11,999",https://www.evetech.co.za/amd-ryzen-9-9900-x-3-d-processor/best-deal/22475,22475,2026-02-25
Evetech,Intel Core Ultra 9 285K 24-Core CPU,"R12,399",https://www.evetech.co.za/intel-core-ultra-9-285-k-desktop-processor/best-deal/21608,21608,2026-02-25
Evetech,AMD Ryzen 9 9950X Zen 5 Desktop CPU,"R12,499",https://www.evetech.co.za/amd-ryzen-9-9950-x-processor/best-deal/20990,20990,2026-02-25
Evetech,AMD Ryzen 9 9950X3D Zen 5 16C/32T,"R14,399",https://www.evetech.co.za/amd-ryzen-9-9950-x-3-d-processor/best-deal/22383,22383,2026-02-25
