Competitor,Title,Price,URL,SKU,Extraction_Date
Evetech,[OPEN BOX] MSI Radeon RX 6500 XT MECH 2X 4GB OC,"R2,999",https://www.evetech.co.za/msi-radeon-rx-6500-xt-mech-2-x-4-gb-oc/best-deal/20163,20163,2026-02-25
Evetech,ASRock Arc A380 Challenger ITX 6GB OC,"R3,199",https://www.evetech.co.za/asrock-intel-arc-a-380-itx-6-gb-oc-graphics-card/best-deal/18766,18766,2026-02-25
Evetech,Palit GeForce RTX 3050 StormX 6GB,"R3,599",https://www.evetech.co.za/palit-geforce-rtx-3050-stormx-6-gb/best-deal/19983,19983,2026-02-25
Evetech,ASRock ARC B580 Challenger OC 12GB,"R6,299",https://www.evetech.co.za/asrock-intel-arc-b-580-challenger-12-gb-oc-gddr-6-graphics-card/best-deal/21941,21941,2026-02-25
Evetech,ASRock ARC B580 Steel Legend OC 12GB,"R6,999",https://www.evetech.co.za/asrock-intel-arc-b-580-steel-legend-12-gb-oc-gddr-6-graphics-card/best-deal/21942,21942,2026-02-25
Evetech,Palit GeForce RTX 5060 Infinity 2 OC,"R6,999",https://www.evetech.co.za/palit-geforce-rtx-5060-infinity-2-oc-8-gb-gddr-7/best-deal/24139,24139,2026-02-25
Evetech,MSI GeForce RTX 5060 8GB Shadow 2X OC,"R6,999",https://www.evetech.co.za/msi-geforce-rtx-5060-8-gb-shadow-2-x-oc/best-deal/24411,24411,2026-02-25
Evetech,Palit GeForce RTX 5060 OC White 8GB,"R7,499",https://www.evetech.co.za/palit-geforce-rtx-5060-oc-graphics-card-white/best-deal/23359,23359,2026-02-25
Evetech,Intel Arc Pro B50 16GB Workstation,"R7,999",https://www.evetech.co.za/intel-arc-pro-b-50-16-gb-workstation-gpu/best-deal/24385,24385,2026-02-25
Evetech,PNY GeForce RTX 5060 EPIC-X 8GB OC,"R7,999",https://www.evetech.co.za/pny-geforce-rtx-5060-epic-x-8-gb-oc/best-deal/24429,24429,2026-02-25
Evetech,MSI RTX 5060 Ventus 2X 8G OC,"R8,499",https://www.evetech.co.za/msi-geforce-rtx-5060-ventus-2-x-8-g-gddr-7/best-deal/23057,23057,2026-02-25
Evetech,XFX SWIFT RX 9060 XT OC 16GB,"R8,499",https://www.evetech.co.za/xfx-swift-rx-9060-xt-16-gb/best-deal/23115,23115,2026-02-25
Evetech,XFX SWIFT RX 9060 XT OC 16GB,"R8,999",https://www.evetech.co.za/xfx-swift-rx-9060-xt-oc-16-gb/best-deal/23117,23117,2026-02-25
Evetech,MSI RTX 5060 8G Gaming Trio OC,"R9,499",https://www.evetech.co.za/msi-geforce-rtx-5060-8-g-gaming-trio-oc-gddr-7/best-deal/23056,23056,2026-02-25
Evetech,ASRock RX 9060 XT Steel Legend 16GB,"R9,499",https://www.evetech.co.za/asrock-rx-9060-xt-steel-legend-16-gb/best-deal/24653,24653,2026-02-25
Evetech,Palit GeForce RTX 5060 Ti Infinity 16GB,"R10,199",https://www.evetech.co.za/palit-geforce-rtx-5060-ti-infinity-16-gb/best-deal/23371,23371,2026-02-25
Evetech,Palit GeForce RTX 5060 Ti Infinity 16GB,"R10,499",https://www.evetech.co.za/palit-geforce-rtx-5060-ti-infinity-16-gb-gddr-7/best-deal/22901,22901,2026-02-25
Evetech,SAPPHIRE NITRO+ RX 9060 XT OC 16GB,"R10,499",https://www.evetech.co.za/sapphire-nitro-plus-rx-9060-xt-16-gb/best-deal/24092,24092,2026-02-25
Evetech,PNY GeForce RTX 5060 Ti 16GB OC,"R10,499",https://www.evetech.co.za/pny-geforce-rtx-5060-ti-16-gb-oc/best-deal/24431,24431,2026-02-25
Evetech,Palit GeForce RTX 5060 Ti 16GB OC,"R11,499",https://www.evetech.co.za/palit-rtx-5060-ti-16-gb-oc/best-deal/24949,24949,2026-02-25
Evetech,Palit GeForce RTX 5070 Infinity 3 12GB,"R11,899",https://www.evetech.co.za/palit-geforce-rtx-5070-infinity-3-12-gb-graphics-card/best-deal/22448,22448,2026-02-25
Evetech,MSI RTX 5070 12GB Shadow 2X OC,"R11,999",https://www.evetech.co.za/msi-geforce-rtx-5070-12-gb-shadow-2-x-oc-graphics-card/best-deal/22445,22445,2026-02-25
Evetech,Palit RTX 5070 OC 12GB White,"R11,999",https://www.evetech.co.za/palit-rtx-5070-oc-12-gb-white/best-deal/24707,24707,2026-02-25
Evetech,ASRock Intel Pro B60 Creator 24GB,"R12,499",https://www.evetech.co.za/asrock-intel-pro-b-60-creator-24-gb/best-deal/24263,24263,2026-02-25
Evetech,PNY GeForce RTX 5070 EPIC-X 12GB OC,"R13,299",https://www.evetech.co.za/pny-geforce-rtx-5070-epic-x-12-gb-oc/best-deal/24430,24430,2026-02-25
Evetech,SAPPHIRE NITRO+ RX 9070 Gaming OC 16GB,"R13,599",https://www.evetech.co.za/sapphire-nitro-plus-rx-9070-gaming-oc-16-gb-graphics-card/best-deal/22430,22430,2026-02-25
Evetech,MSI RTX 5070 Ventus 2X 12G OC,"R13,999",https://www.evetech.co.za/msi-geforce-rtx-5070-ventus-2-x-12-g-gddr-7/best-deal/22882,22882,2026-02-25
Evetech,MSI GeForce RTX 5070 12GB SHADOW 3X OC,"R13,999",https://www.evetech.co.za/msi-geforce-rtx-5070-12-gb-shadow-3-x-oc-gpu/best-deal/23181,23181,2026-02-25
Evetech,XFX SWIFT RX 9070 XT 16GB GPU,"R14,499",https://www.evetech.co.za/xfx-swift-rx-9070-xt-16-gb/best-deal/23075,23075,2026-02-25
Evetech,XFX RX 9070 XT Swift White 16GB,"R14,799",https://www.evetech.co.za/xfx-swift-amd-radeon-rx-9070-xt-triple-fan-16-gb-gddr-6-gpu-white/best-deal/23076,23076,2026-02-25
Evetech,XFX Quicksilver RX 9070 XT Performance,"R14,999",https://www.evetech.co.za/xfx-quicksilver-radeon-rx-9070-xt-16-gb-graphics-card/best-deal/22433,22433,2026-02-25
Evetech,MSI GeForce RTX 5070 12G VENTUS 3X OC,"R14,999",https://www.evetech.co.za/msi-geforce-rtx-5070-12-g-ventus-3-x-oc-gddr-7/best-deal/23050,23050,2026-02-25
Evetech,MSI GeForce RTX 5070 12G Gaming Trio OC,"R15,199",https://www.evetech.co.za/msi-geforce-rtx-5070-12-g-gaming-trio-oc-gddr-7/best-deal/22443,22443,2026-02-25
Evetech,XFX RX 9070 XT OC Magnetic Air,"R16,299",https://www.evetech.co.za/xfx-mercury-radeon-rx-9070-xt-16-gb-magnetic-air-edition-graphics-card/best-deal/22429,22429,2026-02-25
Evetech,SAPPHIRE NITRO+ RX 9070 XT 16GB OC,"R16,499",https://www.evetech.co.za/sapphire-nitro-rx-9070-xt-gaming-oc-16-gb-graphics-card/best-deal/22416,22416,2026-02-25
Evetech,ASRock RX 9070 XT Taichi 16GB,"R16,499",https://www.evetech.co.za/asrock-rx-9070-xt-taichi-16-gb/best-deal/24654,24654,2026-02-25
