Competitor,Title,Price,URL,SKU,Extraction_Date
Wootware,"Lenovo 83K100EXSA IdeaPad Slim 3i Intel Core i5-13420H 4.6Ghz 8-Core 15.3"" WUXGA (1920x1200) IPS Anti-Glare 16GB (1x8GB SO-DIMM, 8GB On-Board) DDR5-4800 512GB M.2 SSD Windows 11 Home Luna Grey Laptop","R10,999.00",https://www.wootware.co.za/lenovo-83k100exsa-ideapad-slim-3i-intel-core-i5-13420h-4-6ghz-8-core-15-3-wuxga-1920x1200-ips-anti-glare-16gb-1x8gb-so-dimm-8gb-on-board-ddr5-4800-512gb-m-2-ssd-windows-11-home-luna-grey-laptop.html,51988,2026-02-25
Wootware,"GEEKOM X14PROU9185H-322-US GeekBook X14 Pro Intel Core Ultra 9 185H 5.1GHz 14-Core 14"" WQXGA+ (2880x1800) 120Hz OLED 32GB(Onboard) LPDDR5-7500MHz 2TB PCIe 4.0x4 NVMe M.2 SSD Windows 11 Pro Grey Laptop","R19,499.00",https://www.wootware.co.za/geekom-x14prou9185h-322-us-geekbook-x14-pro-intel-core-ultra-9-185h-5-1ghz-14-core-14-wqxga-2880x1800-120hz-oled-32gb-onboard-lpddr5-7500mhz-2tb-pcie-4-0x4-nvme-m-2-ssd-windows-11-pro-grey-laptop.html,53391,2026-02-25
Wootware,"Lenovo 21SK001AZA ThinkBook 16 G8 IAL Intel Core Ultra 7 255H 5.10GHz 16-Core 16"" WUXGA (1920x1200) IPS 60Hz 16GB(1x16GB) DDR5-5600MHz 512GB PCIe 4.0x4 NVMe M.2 SSD Windows 11 Pro Arctic Grey Laptop","R17,499.00",https://www.wootware.co.za/lenovo-21sk001aza-thinkbook-16-g8-ial-intel-core-ultra-7-255h-5-10ghz-16-core-16-wuxga-1920x1200-ips-60hz-16gb-1x16gb-ddr5-5600mhz-512gb-pcie-4-0x4-nvme-m-2-ssd-windows-11-pro-arctic-grey-laptop.html,51093,2026-02-25
Wootware,"ASUS X1504VA-I38512BL2W VivoBook 15 X1504 Intel Core i3-1315U 4.50GHz 6-Core 15.6"" Full HD(1920x1080) 60Hz IPS-Level 8GB(On-Board) DDR4 512GB PCIe 3.0 NVMe M.2 SSD Windows 11 Home Quiet Blue Laptop","R7,199.00",https://www.wootware.co.za/asus-x1504va-i38512bl2w-vivobook-15-x1504-intel-core-i3-1315u-4-50ghz-6-core-15-6-full-hd-1920x1080-60hz-ips-level-8gb-on-board-ddr4-512gb-pcie-3-0-nvme-m-2-ssd-windows-11-home-quiet-blue-laptop.html,53467,2026-02-25
Wootware,"WootBook Core 16 Fire AMD Ryzen 9 9955HX 5.4GHz Boost 16-Core 16"" WQXGA (2560x1600) 300Hz NVIDIA GeForce RTX 5070 Ti 12GB GDDR7 Black Laptop","R31,999.00",https://www.wootware.co.za/wootbook-core-16-fire-amd-ryzen-9-9955hx-5-4ghz-boost-16-core-16-wqxga-2560x1600-300hz-nvidia-geforce-rtx-5070-ti-12gb-gddr7-black-laptop.html,50476,2026-02-25
Wootware,"ASUS FA506NCG-78512B0W TUF Gaming A15 AMD Ryzen 7 7445HS 4.70GHz 6-Core 15.6"" Full HD(1920x1080) IPS-level 144Hz 8GB(1x8GB) DDR5-5600MHz NVIDIA GeForce RTX 3050 4GB GDDR6 512GB PCIe 4.0 NVMe M.2 SSD Windows 11 Home Graphite Black Gaming Laptop","R16,499.00",https://www.wootware.co.za/asus-fa506ncg-78512b0w-tuf-gaming-laptop-a15-amd-ryzen-7-7445hs-4-70ghz-6-core-15-6-full-hd-1920x1080-ips-level-144hz-8gb-1x8gb-ddr5-5600mhz-nvidia-geforce-rtx-3050-4gb-gddr6-512gb-pcie-4-0-nvme-m-2-ssd-windows-11-home-graphite-black-gaming-laptop.html,52494,2026-02-25
Wootware,"WootBook Y15 Pro AMD Ryzen AI 9 365 5.0GHz Boost 10-Core 15.3"" WQXGA (2560x1600) 180Hz Grey Laptop","R15,999.00",https://www.wootware.co.za/wootbook-y15-pro-amd-ryzen-ai-9-365-5-0ghz-boost-10-core-15-3-wqxga-2560x1600-180hz-grey-laptop.html,51278,2026-02-25
Wootware,"GEEKOM X14PROU5125H-321-US GeekBook X14 Pro Intel Core Ultra 5 125H 4.5GHz 14-Core 14"" WQXGA+ (2880x1800) 120Hz OLED 32GB(Onboard) LPDDR5-7500MHz 1TB PCIe 4.0x4 NVMe M.2 SSD Windows 11 Pro Grey Laptop","R15,999.00",https://www.wootware.co.za/geekom-x14prou5125h-321-us-geekbook-x14-pro-intel-core-ultra-5-125h-4-5ghz-14-core-14-wqxga-2880x1800-120hz-oled-32gb-onboard-lpddr5-7500mhz-1tb-pcie-4-0x4-nvme-m-2-ssd-windows-11-pro-grey-laptop.html,53349,2026-02-25
Wootware,"ASUS S3407CA-U516512S0W Vivobook S 14 Intel Core Ultra 5 225H 4.9GHz 14-Core 14"" WUXGA (1920x1200) IPS Anti-Glare 16GB (On-Board) DDR5 512GB M.2 SSD Windows 11 Home Cool Silver Laptop","R13,999.00",https://www.wootware.co.za/asus-s3407ca-u516512s0w-vivobook-s-14-intel-core-ultra-5-225h-4-9ghz-14-core-14-wuxga-1920x1200-ips-anti-glare-16gb-on-board-ddr5-512gb-m-2-ssd-windows-11-home-cool-silver-laptop.html,52071,2026-02-25
Wootware,"ASUS X1407CA-U516512S0W Vivobook 14 Intel Core Ultra 5 225H 4.9Ghz 14-Core 14"" WUXGA (1920x1200) IPS Anti-Glare 16GB (On-Board) DDR5-5600 512GB M.2 SSD Windows 11 Home Cool Silver Laptop","R11,999.00",https://www.wootware.co.za/asus-x1407ca-u516512s0w-vivobook-14-intel-core-ultra-5-225h-4-9ghz-14-core-14-wuxga-1920x1200-ips-anti-glare-16gb-on-board-ddr5-5600-512gb-m-2-ssd-windows-11-home-cool-silver-laptop.html,49998,2026-02-25
