Competitor,Title,Price,URL,SKU,Extraction_Date
Progenix,"ASUS GeForce GT 710 2GB DDR5 EVO Low Profile Graphics Card, 2GB","R1,075",https://progenix.co.za/Components/Graphics-Cards/ASUS-GeForce-GT-710-2GB-DDR5-EVO-Low-Profile-Graphics-Card-2GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"MSI GeForce GT 710 2GB DDR3 4xHDMI Graphics Card, 2GB","R1,079",https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-GT-710-2GB-DDR3-4xHDMI-Graphics-Card-2GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"Gigabyte GeForce GT 710 2GB DDR3 Low Profile Graphics Card, 2GB","R1,080",https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-710-2GB-DDR3-Low-Profile-Graphics-Card-2GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"Gigabyte GeForce GT 730 2G Low Profile Graphics Card, 2GB","R1,498",https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-730-2G-Low-Profile-Graphics-Card-2GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"Gigabyte GeForce GT 1030 Low Profile D4 2G Graphics Card, 2GB","R1,625",https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-1030-Low-Profile-D4-2G-Graphics-Card-2GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASUS GeForce GT 1030 GT1030-SL-2G-BRK Passive Low Profile Graphics Card, 2GB","R2,196",https://progenix.co.za/Components/Graphics-Cards/ASUS-GeForce-GT-1030-GT1030-SL-2G-BRK-Passive-Low-Profile-Graphics-Card-2GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASUS GeForce GT 1030 GT1030-2G-BRK Low Profile Graphics Card, 2GB","R2,249",https://progenix.co.za/Components/Graphics-Cards/ASUS-GeForce-GT-1030-GT1030-2G-BRK-Low-Profile-Graphics-Card-2GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"Sapphire Radeon RX 550 Pulse 2G G5 Graphics Card, 2GB","R2,850",https://progenix.co.za/Components/Graphics-Cards/Sapphire-Radeon-RX-550-Pulse-2G-G5-Graphics-Card-2GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"MSI GeForce RTX 3050 VENTUS 2X 6G OC Graphics Card, 6GB","R4,813",https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-3050-VENTUS-2X-6G-OC-Graphics-Card-6GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASUS TUF GAMING GeForce GTX 1650 OC Edition 4GB GDDR6 Graphics Card, 4GB","R4,966",https://progenix.co.za/Components/Graphics-Cards/ASUS-TUF-GAMING-GeForce-GTX-1650-OC-Edition-4GB-GDDR6-Graphics-Card-4GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASRock Radeon RX 7600 CHALLENGER 8GB OC Graphics Card, 8GB","R5,899",https://progenix.co.za/Components/Graphics-Cards/ASRock-Radeon-RX-7600-CHALLENGER-8GB-OC-Graphics-Card-8GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASUS DUAL GeForce RTX 3050 V2 OC Edition Graphics Card, 8GB","R5,993",https://progenix.co.za/Components/Graphics-Cards/ASUS-DUAL-GeForce-RTX-3050-V2-OC-Edition-Graphics-Card-8GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASUS DUAL GeForce RTX 5050 8GB GDDR6 OC Edition Graphics Card, 8GB","R5,999",https://progenix.co.za/Components/Graphics-Cards/ASUS-DUAL-GeForce-RTX-5050-8GB-GDDR6-OC-Edition-Graphics-Card-8GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASRock Arc B570 CHALLENGER 10GB OC Graphics Card, 10GB","R6,065",https://progenix.co.za/Components/Graphics-Cards/ASRock-Arc-B570-CHALLENGER-10GB-OC-Graphics-Card-10GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"Gigabyte GeForce RTX 5050 WINDFORCE OC 8G Graphics Card, 8GB","R6,186",https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-5050-WINDFORCE-OC-8G-Graphics-Card-8GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"Gigabyte GeForce RTX 5050 OC LOW PROFILE 8G Graphics Card, 8GB","R6,281",https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-5050-OC-LOW-PROFILE-8G-Graphics-Card-8GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"Gigabyte GeForce RTX 5050 GAMING OC 8G Graphics Card, 8GB","R6,308",https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-5050-GAMING-OC-8G-Graphics-Card-8GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASUS DUAL Radeon RX 7600 EVO OC Edition 8GB GDDR6 Graphics Card, 8GB","R6,632",https://progenix.co.za/Components/Graphics-Cards/ASUS-DUAL-Radeon-RX-7600-EVO-OC-Edition-8GB-GDDR6-Graphics-Card-8GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASRock Arc B580 CHALLENGER 12GB OC Graphics Card, 12GB","R6,684",https://progenix.co.za/Components/Graphics-Cards/ASRock-Arc-B580-CHALLENGER-12GB-OC-Graphics-Card-12GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"MSI GeForce RTX 5050 8G VENTUS 2X OC Graphics Card, 8GB","R6,787",https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-5050-8G-VENTUS-2X-OC-Graphics-Card-8GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"ASRock Arc B580 STEEL LEGEND 12GB OC Graphics Card, 12GB","R6,975",https://progenix.co.za/Components/Graphics-Cards/ASRock-Arc-B580-STEEL-LEGEND-12GB-OC-Graphics-Card-12GB?refine=stock_status%2C7,N/A,2026-02-25
Progenix,"Gigabyte GeForce RTX 2060 D6 6G Graphics Card, 6GB","R7,114",https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-2060-D6-6G-Graphics-Card-6GB?refine=stock_status%2C7,N/A,2026-02-25
